#id: 474
#name: E.coli - Whole organism, EmPAI (Arike,J_Proteomics,2012)
#score: 4.35
#weight: 50%
#description: abundance based on MAPPED_BY_AUTHORS, emPAI, from<a href="http://www.mcponline.org/content/11/10/933.abstract" target="_blank">Arike, J_Proteomics,2012</a><br/><b>Interaction consistency score</b>: 4.35&nbsp<b>Coverage</b>: 98
#organ: WHOLE_ORGANISM
#integrated: false
#coverage: 98
#publication_year: 2012
#filename: Ecoli_emPAI_arike_2012.txt
#
internal_id	string_external_id	abundance
6882439	511145.b1696	0
6884762	511145.b4249	0
6884761	511145.b4248	0
6882436	511145.b1693	70.3
6882435	511145.b1692	0
6884759	511145.b4245	2727
6884758	511145.b4244	4754
6882106	511145.b1329	213
6884760	511145.b4246	0
6884755	511145.b4241	0
6884754	511145.b4240	0
6884757	511145.b4243	1889
6884756	511145.b4242	0
6881410	511145.b0582	0
6881411	511145.b0583	0
6881408	511145.b0580	0
6881409	511145.b0581	58.6
6881414	511145.b0586	0
6881415	511145.b0587	0
6881412	511145.b0584	0
6881413	511145.b0585	0
6881416	511145.b0588	0
6881417	511145.b0589	0
6882398	511145.b1653	0
6881439	511145.b0612	0
6881440	511145.b0613	0
6881437	511145.b0610	429
6881438	511145.b0611	0
6881443	511145.b0616	0
6881444	511145.b0617	0
6881441	511145.b0614	0
6881442	511145.b0615	0
6882400	511145.b1655	0
6881445	511145.b0618	0
6881446	511145.b0619	0
6882611	511145.b1870	68.4
6882034	511145.b1256	0
6881679	511145.b0878	30.3
6882401	511145.b1656	593
6882276	511145.b1523	0
6881677	511145.b0876	0
6880920	511145.b0038	0
6880921	511145.b0039	0
6882280	511145.b1527	0
6882279	511145.b1526	0
6882278	511145.b1525	25.4
6882277	511145.b1524	0
6880914	511145.b0032	134
6880915	511145.b0033	314
6880912	511145.b0030	37.1
6880913	511145.b0031	385
6880918	511145.b0036	0
6880919	511145.b0037	0
6880916	511145.b0034	0
6880917	511145.b0035	0
6881514	511145.b0704	0
6882619	511145.b1878	0
6881728	511145.b0928	2302
6881671	511145.b0870	200
6881379	511145.b0547	0
6881724	511145.b0924	33.7
6881725	511145.b0925	0
6881726	511145.b0926	0
6881727	511145.b0927	82.0
6881720	511145.b0920	0
6881721	511145.b0921	0
6881722	511145.b0922	26.4
6881723	511145.b0923	187
6882319	511145.b1570	80.6
6882320	511145.b1571	0
6883050	511145.b2357	0
6881177	511145.b0326	0
6881178	511145.b0327	0
6881175	511145.b0324	0
6881176	511145.b0325	2550
6881174	511145.b0323	0
6881172	511145.b0320	0
6881173	511145.b0321	0
6881004	511145.b0127	74.2
6882031	511145.b1253	0
6881179	511145.b0328	0
6881180	511145.b0329	2840
6884914	511145.b4465	0
6884913	511145.b4464	0
6884916	511145.b4467	0
6884915	511145.b4466	0
6884911	511145.b4461	0
6884910	511145.b4460	0
6884912	511145.b4463	0
6883919	511145.b3326	0
6884918	511145.b4469	0
6884917	511145.b4468	0
6881377	511145.b0545	0
6884435	511145.b3892	0
6883916	511145.b3323	0
6882588	511145.b1847	813
6884437	511145.b3894	0
6884440	511145.b3897	18.6
6884439	511145.b3896	0
6884442	511145.b3899	0
6884441	511145.b3898	0
6883486	511145.b2836	0
6883227	511145.b2542	0
6882517	511145.b1776	0
6883228	511145.b2543	0
6882518	511145.b1777	123
6883229	511145.b2544	0
6883230	511145.b2545	0
6883922	511145.b3329	0
6882931	511145.b2231	362
6883414	511145.b2759	0
6884149	511145.b3569	0
6884148	511145.b3568	0
6884145	511145.b3565	0
6884144	511145.b3564	0
6884147	511145.b3567	0
6884146	511145.b3566	463
6884141	511145.b3561	0
6884140	511145.b3560	267
6884143	511145.b3563	0
6884142	511145.b3562	0
6884939	511145.b4506	0
6884482	511145.b3941	256
6884938	511145.b4504	0
6883770	511145.b3161	0
6883769	511145.b3160	0
6883772	511145.b3163	37.6
6883771	511145.b3162	37.1
6883774	511145.b3165	1029
6883773	511145.b3164	1008
6883776	511145.b3167	767
6883775	511145.b3166	0
6883778	511145.b3169	926
6884937	511145.b4502	0
6882519	511145.b1778	364
6882256	511145.b1499	0
6884936	511145.b4501	0
6883902	511145.b3309	7595
6883901	511145.b3308	5965
6883894	511145.b3301	3541
6883893	511145.b3300	25.9
6883896	511145.b3303	12212
6883895	511145.b3302	6056
6883898	511145.b3305	3285
6883897	511145.b3304	1173
6883900	511145.b3307	551
6883899	511145.b3306	2813
6882037	511145.b1259	398
6883056	511145.b2364	0
6883057	511145.b2365	0
6883058	511145.b2366	0
6883059	511145.b2367	0
6883052	511145.b2360	0
6883053	511145.b2361	0
6883054	511145.b2362	0
6883055	511145.b2363	0
6883060	511145.b2368	0
6883061	511145.b2369	0
6882036	511145.b1258	724
6884331	511145.b3769	0
6882950	511145.b2251	0
6884330	511145.b3766	0
6884329	511145.b3765	0
6884328	511145.b3764	2024
6884488	511145.b3947	0
6884487	511145.b3946	0
6884486	511145.b3945	67.9
6884485	511145.b3944	0
6884484	511145.b3943	0
6882854	511145.b2149	300
6883103	511145.b2418	41.5
6883104	511145.b2419	0
6882849	511145.b2144	0
6883102	511145.b2417	4819
6882851	511145.b2146	0
6882852	511145.b2147	0
